confidence,mid_gap,edge,annualised,days_to_settle,edge_leg,cost_per_contract,priced_at_top_of_book,a_venue,a_mid,b_venue,b_mid,a_question,b_question,a_id,b_url,title_similarity,rules_similarity,days_apart,warnings
0.4603,0.0750,0.0447,0.1313,135.4,buy YES predictit / NO polymarket,0.9553,True,polymarket,0.125,predictit,0.05,"Will Elon Musk tweet ""Hyperliquid"" by December 31, 2026?",Will Trump pardon Elon Musk in 2026?,0xf52464db4365608f6f135248f83cd1e98e6232bce4917e6cd7d94d911ca8f51a,https://www.predictit.org/markets/detail/8549/Will-Trump-pardon-Elon-Musk-in-2026,0.4630,,0.0,"one side states a numeric threshold, the other does not; resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown"
0.5177,0.0605,0.0466,0.1304,142.0,buy YES polymarket / NO kalshi,0.9534,True,kalshi,0.10500000000000001,polymarket,0.0445,Will Taylor Swift be the #1 most streamed Artist on the  2026 Spotify Wrapped Top 10 Artist U.S chart on the date that the chart is released for 2026?,Will Taylor Swift be the top artist for 2026?,KXTOPARTISTUSA-26-TAY,https://polymarket.com/market/will-taylor-swift-be-the-top-spotify-artist-for-2026,0.5495,0.6713,7.6,"one side states a numeric threshold, the other does not"
0.6442,0.0750,0.0460,0.1287,142.0,buy YES polymarket / NO kalshi,0.9540,True,kalshi,0.16999999999999998,polymarket,0.095,"Will Delcy Rodríguez be the head of state of Venezuela on Dec 31, 2026?","Delcy Rodríguez out as leader of Venezuela by December 31, 2026?",KXVENEZUELALEADER-26DEC31-DROD,https://polymarket.com/market/delcy-rodrguez-out-as-leader-of-venezuela-by-december-31-2026-148-853,0.7528,0.3667,7.6,
0.6107,-0.2215,0.0748,0.1181,254.4,buy YES polymarket / NO predictit,0.9252,True,polymarket,0.0235,predictit,0.245,Will Jordan Bardella win the 2027 French presidential election?,Who will win the next French presidential election? — Jordan Bardella,0x1166388a24a3f2a9bb0a45956bdb205c70f0ecafb8539e277a57adf022e306be,https://www.predictit.org/markets/detail/8766/Who-will-win-the-next-French-presidential-election,0.8524,,,one side names a year the other does not; resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown
0.5490,0.4150,0.0651,0.1071,241.4,buy YES predictit / NO polymarket,0.9349,True,polymarket,0.845,predictit,0.43,Will Édouard Philippe be on the ballot for the 2027 French presidential election?,Who will win the next French presidential election? — Édouard Philippe,0xb73b23b135bb40488931bbb9bde2a0a01c288c5896afb6d8baafcb3984840b35,https://www.predictit.org/markets/detail/8766/Who-will-win-the-next-French-presidential-election,0.7674,,,one side names a year the other does not; resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown
0.5418,-0.0525,0.0055,0.1038,20.4,buy YES polymarket / NO predictit,0.9945,True,polymarket,0.8925000000000001,predictit,0.9450000000000001,Will Helena Foulkes win the 2026 Rhode Island Governor Democratic primary election?,Which party will win the 2026 election for governor of Rhode Island? — Democratic,0xf125ec027b10cfc944d90a8e12558a05191214a774501382d85bed74773a2b23,https://www.predictit.org/markets/detail/8404/Which-party-will-win-the-2026-election-for-governor-of-Rhode-Island,0.5921,,,resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown
0.6310,0.2100,0.0660,0.1030,254.4,buy YES predictit / NO polymarket,0.9340,True,polymarket,0.385,predictit,0.175,Will Jean-Luc Mélenchon advance to the second round of the next French presidential election?,Who will win the next French presidential election? — Jean-Luc Mélenchon,0x7c9c13d0adc82f9e5aaa774e75ac1d08d181367c4cda17fa641293cec7d13bc2,https://www.predictit.org/markets/detail/8766/Who-will-win-the-next-French-presidential-election,0.7150,,,resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown
0.4778,-0.0600,0.0364,0.0999,142.0,buy YES kalshi / NO polymarket,0.9636,True,kalshi,0.10500000000000001,polymarket,0.165,Will Taylor Swift be the #1 most streamed Artist on the  2026 Spotify Wrapped Top 10 Artist U.S chart on the date that the chart is released for 2026?,Will Taylor Swift be the second most streamed artist for 2026?,KXTOPARTISTUSA-26-TAY,https://polymarket.com/market/will-taylor-swift-be-the-second-most-streamed-spotify-artist-for-2026-20260609190428835,0.5686,0.4004,6.6,"one side states a numeric threshold, the other does not"
0.5324,-0.0600,0.0410,0.0958,167.0,buy YES kalshi / NO predictit,0.9590,True,kalshi,0.14500000000000002,predictit,0.20500000000000002,Will Republicans win the House in 2026? — Republican Party,Which party will win the House in the 2026 election? — Republican,CONTROLH-2026-R,https://www.predictit.org/markets/detail/8157/Which-party-will-win-the-House-in-the-2026-election,0.5791,,,resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown
0.6063,0.0375,0.0331,0.0904,142.0,buy YES polymarket / NO kalshi,0.9669,True,kalshi,0.0405,polymarket,0.003,"Will Diosdado Cabello Rondón be the head of state of Venezuela on Dec 31, 2026?",Will Diosdado Cabello Rondón be the leader of Venezuela end of 2026?,KXVENEZUELALEADER-26DEC31-DRON,https://polymarket.com/market/will-diosdado-cabello-rondn-be-the-leader-of-venezuela-end-of-2026,0.8280,0.4407,7.6,"one side states a numeric threshold, the other does not"
0.5257,0.0450,0.0176,0.0885,76.4,buy YES predictit / NO polymarket,0.9824,True,polymarket,0.46499999999999997,predictit,0.42,"2026 Balance of Power: D Senate, D House — Democrats Sweep","What will be the balance of power in Congress after the 2026 election? — D House, R Senate",0x16c63b7cc37f012b9f59ee164ec03877914c701d06d48291ae8d6fc08a088b0d,https://www.predictit.org/markets/detail/8600/What-will-be-the-balance-of-power-in-Congress-after-the-2026-election,0.5699,,,resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown
0.6468,0.0400,0.0175,0.0881,76.4,buy YES predictit / NO polymarket,0.9825,True,polymarket,0.495,predictit,0.455,Will the Democratic Party control the Senate after the 2026 Midterm elections?,Which party will control the Senate after the 2026 election? — Democratic,0x307a1ed89d60b61002dd5bbf00e1408c5ed2ab3fcdb056191ca7ef9bc34d38f3,https://www.predictit.org/markets/detail/8155/Which-party-will-control-the-Senate-after-the-2026-election,0.7368,,,resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown
0.5171,0.0400,0.0276,0.0791,134.4,buy YES predictit / NO polymarket,0.9724,True,polymarket,0.055,predictit,0.015,Will the US acquire part of Greenland in 2026?,Will the US purchase Greenland in 2026?,0x890fc3ba40458db0b67560691aa1597344c2a0560d18e80f586a4b35f510b4ce,https://www.predictit.org/markets/detail/8493/Will-the-US-purchase-Greenland-in-2026,0.5580,,,resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown
0.4533,-0.0800,0.0279,0.0789,136.0,buy YES kalshi / NO predictit,0.9721,True,kalshi,0.025,predictit,0.105,Who will win the Nobel Peace Prize? — Pope Leo XIV,Will Trump meet with Pope Leo in 2026?,KXNOBELPEACE-27-PLEO,https://www.predictit.org/markets/detail/8707/Will-Trump-meet-with-Pope-Leo-in-2026,0.4809,,0.6,one side names a year the other does not; resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown
0.6301,-0.1295,0.0259,0.0732,135.4,buy YES polymarket / NO predictit,0.9741,True,polymarket,0.020499999999999997,predictit,0.15,Will Trump be impeached by end of 2026?,Will any US federal judge be impeached in 2026?,0x4c8ceef9b9c0a27b6b4efa7c398ece4a5eeda76502f722de398c232abefe2ede,https://www.predictit.org/markets/detail/8870/Will-any-US-federal-judge-be-impeached-in-2026,0.5592,,1.0,resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown
